product_id,expected_attributes,available_attributes,missing_attributes,critical_missing,completeness_score,extraction_accuracy,taxonomy_confidence,compliance_score,validation_score,overall_quality_score,quality_grade,review_required
PROD-01,5,5,0,0,100,98,98,100,100,100,A,NO
PROD-02,5,5,0,0,100,98,98,100,100,100,A,NO
PROD-03,5,3,2,2,60,98,98,100,100,50,C,YES
PROD-04,4,4,0,0,100,98,98,100,100,100,A,NO
PROD-05,4,4,0,0,100,98,98,0,100,100,A,NO
PROD-06,4,4,0,0,100,80,65,100,100,100,A,NO
PROD-07,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-08,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-09,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-10,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-11,3,3,0,0,100,98,98,100,50,80,B,NO
PROD-12,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-13,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-14,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-15,3,2,1,1,67,98,98,100,100,57,C,YES
PROD-16,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-17,3,3,0,0,100,80,65,100,100,100,A,NO
PROD-18,3,3,0,0,100,98,98,0,100,100,A,NO
PROD-19,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-20,3,3,0,0,100,98,98,100,50,80,B,NO
PROD-21,4,4,0,0,100,98,98,100,100,100,A,NO
PROD-22,4,4,0,0,100,98,98,100,100,100,A,NO
PROD-23,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-24,3,1,2,1,33,98,98,100,100,23,C,YES
PROD-25,3,3,0,0,100,98,98,0,100,100,A,NO
PROD-26,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-27,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-28,3,3,0,0,100,98,98,100,100,100,A,NO
PROD-29,5,5,0,0,100,98,98,100,50,80,B,NO
PROD-30,5,5,0,0,100,98,98,100,100,100,A,NO
