compliance_id,product_id,standard,standard_version,requirement,status,evidence_found,evidence_text,source_page,certificate_number,verification_status,confidence
COMP-PROD-01-ROHS,PROD-01,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-02-ROHS,PROD-02,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-03-ROHS,PROD-03,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-04-ROHS,PROD-04,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-05-ROHS,PROD-05,RoHS,2011/65/EU,Lead-free,MISSING,NO,,,,FAILED,0
COMP-PROD-06-ROHS,PROD-06,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-07-ROHS,PROD-07,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-08-ROHS,PROD-08,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-09-ROHS,PROD-09,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-10-ROHS,PROD-10,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-11-ROHS,PROD-11,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-12-ROHS,PROD-12,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-13-ROHS,PROD-13,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-14-ROHS,PROD-14,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-15-ROHS,PROD-15,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-16-ROHS,PROD-16,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-17-ROHS,PROD-17,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-18-ROHS,PROD-18,RoHS,2011/65/EU,Lead-free,MISSING,NO,,,,FAILED,0
COMP-PROD-19-ROHS,PROD-19,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-20-ROHS,PROD-20,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-21-ROHS,PROD-21,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-22-ROHS,PROD-22,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-23-ROHS,PROD-23,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-24-ROHS,PROD-24,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-25-ROHS,PROD-25,RoHS,2011/65/EU,Lead-free,MISSING,NO,,,,FAILED,0
COMP-PROD-26-ROHS,PROD-26,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-27-ROHS,PROD-27,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-28-ROHS,PROD-28,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-29-ROHS,PROD-29,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
COMP-PROD-30-ROHS,PROD-30,RoHS,2011/65/EU,Lead-free,VERIFIED,YES,Complies with RoHS,8,CERT-12345,PASSED,99
