document_id,product_id,filename,document_type,page_count,file_size_kb,language,upload_date,text_blocks_detected,tables_detected,images_detected,ocr_required,document_quality,processing_status,extraction_confidence
DOC-PROD-01,PROD-01,SKU-01_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-02,PROD-02,SKU-02_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-03,PROD-03,SKU-03_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-04,PROD-04,SKU-04_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-05,PROD-05,SKU-05_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-06,PROD-06,SKU-06_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-07,PROD-07,SKU-07_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-08,PROD-08,SKU-08_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-09,PROD-09,SKU-09_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-10,PROD-10,SKU-10_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-11,PROD-11,SKU-11_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-12,PROD-12,SKU-12_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-13,PROD-13,SKU-13_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-14,PROD-14,SKU-14_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-15,PROD-15,SKU-15_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-16,PROD-16,SKU-16_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-17,PROD-17,SKU-17_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-18,PROD-18,SKU-18_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-19,PROD-19,SKU-19_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-20,PROD-20,SKU-20_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-21,PROD-21,SKU-21_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-22,PROD-22,SKU-22_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-23,PROD-23,SKU-23_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-24,PROD-24,SKU-24_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-25,PROD-25,SKU-25_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-26,PROD-26,SKU-26_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-27,PROD-27,SKU-27_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-28,PROD-28,SKU-28_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-29,PROD-29,SKU-29_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
DOC-PROD-30,PROD-30,SKU-30_datasheet.pdf,PDF Datasheet,8,1024,EN,2026-08-22T08:25:42.660125,100,2,1,False,High,Completed,95.0
