attribute_id,product_id,attribute_name,original_value,normalized_value,unit,data_type,confidence,extraction_status,source_document,source_page,source_section,source_text
ATTR-PROD-01-RatedVoltage,PROD-01,Rated Voltage,376 V,376,V,Numeric,98,SUCCESS,DOC-PROD-01,2,Tech Specs,Rated Voltage: 376 V
ATTR-PROD-01-RatedCurrent,PROD-01,Rated Current,372 A,372,A,Numeric,98,SUCCESS,DOC-PROD-01,2,Tech Specs,Rated Current: 372 A
ATTR-PROD-01-BreakingCapacity,PROD-01,Breaking Capacity,201 kA,201,kA,Numeric,98,SUCCESS,DOC-PROD-01,2,Tech Specs,Breaking Capacity: 201 kA
ATTR-PROD-01-Poles,PROD-01,Poles,16 Count,16,Count,Numeric,98,SUCCESS,DOC-PROD-01,2,Tech Specs,Poles: 16 Count
ATTR-PROD-01-Weight,PROD-01,Weight,454 kg,454,kg,Numeric,98,SUCCESS,DOC-PROD-01,2,Tech Specs,Weight: 454 kg
ATTR-PROD-02-RatedVoltage,PROD-02,Rated Voltage,279 V,279,V,Numeric,98,SUCCESS,DOC-PROD-02,2,Tech Specs,Rated Voltage: 279 V
ATTR-PROD-02-RatedCurrent,PROD-02,Rated Current,75 A,75,A,Numeric,98,SUCCESS,DOC-PROD-02,2,Tech Specs,Rated Current: 75 A
ATTR-PROD-02-BreakingCapacity,PROD-02,Breaking Capacity,10 kA,10,kA,Numeric,98,SUCCESS,DOC-PROD-02,2,Tech Specs,Breaking Capacity: 10 kA
ATTR-PROD-02-Poles,PROD-02,Poles,138 Count,138,Count,Numeric,98,SUCCESS,DOC-PROD-02,2,Tech Specs,Poles: 138 Count
ATTR-PROD-02-Weight,PROD-02,Weight,27 kg,27,kg,Numeric,98,SUCCESS,DOC-PROD-02,2,Tech Specs,Weight: 27 kg
ATTR-PROD-03-RatedCurrent,PROD-03,Rated Current,347 A,347,A,Numeric,98,SUCCESS,DOC-PROD-03,2,Tech Specs,Rated Current: 347 A
ATTR-PROD-03-Poles,PROD-03,Poles,120 Count,120,Count,Numeric,98,SUCCESS,DOC-PROD-03,2,Tech Specs,Poles: 120 Count
ATTR-PROD-03-Weight,PROD-03,Weight,207 kg,207,kg,Numeric,98,SUCCESS,DOC-PROD-03,2,Tech Specs,Weight: 207 kg
ATTR-PROD-04-RatedVoltage,PROD-04,Rated Voltage,35 V,35,V,Numeric,98,SUCCESS,DOC-PROD-04,2,Tech Specs,Rated Voltage: 35 V
ATTR-PROD-04-RatedCurrent,PROD-04,Rated Current,54 A,54,A,Numeric,98,SUCCESS,DOC-PROD-04,2,Tech Specs,Rated Current: 54 A
ATTR-PROD-04-CrossSection,PROD-04,Cross Section,23 mm²,23,mm²,Numeric,98,SUCCESS,DOC-PROD-04,2,Tech Specs,Cross Section: 23 mm²
ATTR-PROD-04-MountingType,PROD-04,Mounting Type,188 String,188,String,Numeric,98,SUCCESS,DOC-PROD-04,2,Tech Specs,Mounting Type: 188 String
ATTR-PROD-05-RatedVoltage,PROD-05,Rated Voltage,41 V,41,V,Numeric,98,SUCCESS,DOC-PROD-05,2,Tech Specs,Rated Voltage: 41 V
ATTR-PROD-05-RatedCurrent,PROD-05,Rated Current,73 A,73,A,Numeric,98,SUCCESS,DOC-PROD-05,2,Tech Specs,Rated Current: 73 A
ATTR-PROD-05-CrossSection,PROD-05,Cross Section,488 mm²,488,mm²,Numeric,98,SUCCESS,DOC-PROD-05,2,Tech Specs,Cross Section: 488 mm²
ATTR-PROD-05-MountingType,PROD-05,Mounting Type,307 String,307,String,Numeric,98,SUCCESS,DOC-PROD-05,2,Tech Specs,Mounting Type: 307 String
ATTR-PROD-06-RatedVoltage,PROD-06,Rated Voltage,145 V,145,V,Numeric,65,SUCCESS,DOC-PROD-06,2,Tech Specs,Rated Voltage: 145 V
ATTR-PROD-06-RatedCurrent,PROD-06,Rated Current,159 A,159,A,Numeric,65,SUCCESS,DOC-PROD-06,2,Tech Specs,Rated Current: 159 A
ATTR-PROD-06-CrossSection,PROD-06,Cross Section,172 mm²,172,mm²,Numeric,65,SUCCESS,DOC-PROD-06,2,Tech Specs,Cross Section: 172 mm²
ATTR-PROD-06-MountingType,PROD-06,Mounting Type,442 String,442,String,Numeric,65,SUCCESS,DOC-PROD-06,2,Tech Specs,Mounting Type: 442 String
ATTR-PROD-07-CoilVoltage,PROD-07,Coil Voltage,364 V,364,V,Numeric,98,SUCCESS,DOC-PROD-07,2,Tech Specs,Coil Voltage: 364 V
ATTR-PROD-07-RatedCurrent,PROD-07,Rated Current,141 A,141,A,Numeric,98,SUCCESS,DOC-PROD-07,2,Tech Specs,Rated Current: 141 A
ATTR-PROD-07-Poles,PROD-07,Poles,176 Count,176,Count,Numeric,98,SUCCESS,DOC-PROD-07,2,Tech Specs,Poles: 176 Count
ATTR-PROD-08-CoilVoltage,PROD-08,Coil Voltage,14 V,14,V,Numeric,98,SUCCESS,DOC-PROD-08,2,Tech Specs,Coil Voltage: 14 V
ATTR-PROD-08-RatedCurrent,PROD-08,Rated Current,482 A,482,A,Numeric,98,SUCCESS,DOC-PROD-08,2,Tech Specs,Rated Current: 482 A
ATTR-PROD-08-Poles,PROD-08,Poles,12 Count,12,Count,Numeric,98,SUCCESS,DOC-PROD-08,2,Tech Specs,Poles: 12 Count
ATTR-PROD-09-CoilVoltage,PROD-09,Coil Voltage,164 V,164,V,Numeric,98,SUCCESS,DOC-PROD-09,2,Tech Specs,Coil Voltage: 164 V
ATTR-PROD-09-RatedCurrent,PROD-09,Rated Current,168 A,168,A,Numeric,98,SUCCESS,DOC-PROD-09,2,Tech Specs,Rated Current: 168 A
ATTR-PROD-09-Poles,PROD-09,Poles,12 Count,12,Count,Numeric,98,SUCCESS,DOC-PROD-09,2,Tech Specs,Poles: 12 Count
ATTR-PROD-10-CoilVoltage,PROD-10,Coil Voltage,299 V,299,V,Numeric,98,SUCCESS,DOC-PROD-10,2,Tech Specs,Coil Voltage: 299 V
ATTR-PROD-10-ContactRating,PROD-10,Contact Rating,419 A,419,A,Numeric,98,SUCCESS,DOC-PROD-10,2,Tech Specs,Contact Rating: 419 A
ATTR-PROD-10-Configuration,PROD-10,Configuration,136 String,136,String,Numeric,98,SUCCESS,DOC-PROD-10,2,Tech Specs,Configuration: 136 String
ATTR-PROD-11-CoilVoltage,PROD-11,Coil Voltage,281 V,281,V,Numeric,98,SUCCESS,DOC-PROD-11,2,Tech Specs,Coil Voltage: 281 V
ATTR-PROD-11-ContactRating,PROD-11,Contact Rating,280 A,280,A,Numeric,98,SUCCESS,DOC-PROD-11,2,Tech Specs,Contact Rating: 280 A
ATTR-PROD-11-Configuration,PROD-11,Configuration,446 String,446,String,Numeric,98,SUCCESS,DOC-PROD-11,2,Tech Specs,Configuration: 446 String
ATTR-PROD-12-CoilVoltage,PROD-12,Coil Voltage,318 V,318,V,Numeric,98,SUCCESS,DOC-PROD-12,2,Tech Specs,Coil Voltage: 318 V
ATTR-PROD-12-ContactRating,PROD-12,Contact Rating,137 A,137,A,Numeric,98,SUCCESS,DOC-PROD-12,2,Tech Specs,Contact Rating: 137 A
ATTR-PROD-12-Configuration,PROD-12,Configuration,34 String,34,String,Numeric,98,SUCCESS,DOC-PROD-12,2,Tech Specs,Configuration: 34 String
ATTR-PROD-13-CoilVoltage,PROD-13,Coil Voltage,185 V,185,V,Numeric,98,SUCCESS,DOC-PROD-13,2,Tech Specs,Coil Voltage: 185 V
ATTR-PROD-13-ContactRating,PROD-13,Contact Rating,488 A,488,A,Numeric,98,SUCCESS,DOC-PROD-13,2,Tech Specs,Contact Rating: 488 A
ATTR-PROD-13-Configuration,PROD-13,Configuration,371 String,371,String,Numeric,98,SUCCESS,DOC-PROD-13,2,Tech Specs,Configuration: 371 String
ATTR-PROD-14-SensingRange,PROD-14,Sensing Range,252 mm,252,mm,Numeric,98,SUCCESS,DOC-PROD-14,2,Tech Specs,Sensing Range: 252 mm
ATTR-PROD-14-OutputType,PROD-14,Output Type,52 String,52,String,Numeric,98,SUCCESS,DOC-PROD-14,2,Tech Specs,Output Type: 52 String
ATTR-PROD-14-IPRating,PROD-14,IP Rating,138 String,138,String,Numeric,98,SUCCESS,DOC-PROD-14,2,Tech Specs,IP Rating: 138 String
ATTR-PROD-15-OutputType,PROD-15,Output Type,44 String,44,String,Numeric,98,SUCCESS,DOC-PROD-15,2,Tech Specs,Output Type: 44 String
ATTR-PROD-15-IPRating,PROD-15,IP Rating,443 String,443,String,Numeric,98,SUCCESS,DOC-PROD-15,2,Tech Specs,IP Rating: 443 String
ATTR-PROD-16-TemperatureRange,PROD-16,Temperature Range,104 °C,104,°C,Numeric,98,SUCCESS,DOC-PROD-16,2,Tech Specs,Temperature Range: 104 °C
ATTR-PROD-16-SensorType,PROD-16,Sensor Type,201 String,201,String,Numeric,98,SUCCESS,DOC-PROD-16,2,Tech Specs,Sensor Type: 201 String
ATTR-PROD-16-Accuracy,PROD-16,Accuracy,144 %,144,%,Numeric,98,SUCCESS,DOC-PROD-16,2,Tech Specs,Accuracy: 144 %
ATTR-PROD-17-TemperatureRange,PROD-17,Temperature Range,192 °C,192,°C,Numeric,65,SUCCESS,DOC-PROD-17,2,Tech Specs,Temperature Range: 192 °C
ATTR-PROD-17-SensorType,PROD-17,Sensor Type,51 String,51,String,Numeric,65,SUCCESS,DOC-PROD-17,2,Tech Specs,Sensor Type: 51 String
ATTR-PROD-17-Accuracy,PROD-17,Accuracy,68 %,68,%,Numeric,65,SUCCESS,DOC-PROD-17,2,Tech Specs,Accuracy: 68 %
ATTR-PROD-18-TemperatureRange,PROD-18,Temperature Range,224 °C,224,°C,Numeric,98,SUCCESS,DOC-PROD-18,2,Tech Specs,Temperature Range: 224 °C
ATTR-PROD-18-SensorType,PROD-18,Sensor Type,304 String,304,String,Numeric,98,SUCCESS,DOC-PROD-18,2,Tech Specs,Sensor Type: 304 String
ATTR-PROD-18-Accuracy,PROD-18,Accuracy,224 %,224,%,Numeric,98,SUCCESS,DOC-PROD-18,2,Tech Specs,Accuracy: 224 %
ATTR-PROD-19-PressureRange,PROD-19,Pressure Range,443 bar,443,bar,Numeric,98,SUCCESS,DOC-PROD-19,2,Tech Specs,Pressure Range: 443 bar
ATTR-PROD-19-OutputSignal,PROD-19,Output Signal,339 mA,339,mA,Numeric,98,SUCCESS,DOC-PROD-19,2,Tech Specs,Output Signal: 339 mA
ATTR-PROD-19-Connection,PROD-19,Connection,187 String,187,String,Numeric,98,SUCCESS,DOC-PROD-19,2,Tech Specs,Connection: 187 String
ATTR-PROD-20-PressureRange,PROD-20,Pressure Range,149 bar,149,bar,Numeric,98,SUCCESS,DOC-PROD-20,2,Tech Specs,Pressure Range: 149 bar
ATTR-PROD-20-OutputSignal,PROD-20,Output Signal,438 mA,438,mA,Numeric,98,SUCCESS,DOC-PROD-20,2,Tech Specs,Output Signal: 438 mA
ATTR-PROD-20-Connection,PROD-20,Connection,92 String,92,String,Numeric,98,SUCCESS,DOC-PROD-20,2,Tech Specs,Connection: 92 String
ATTR-PROD-21-RatedVoltage,PROD-21,Rated Voltage,294 V,294,V,Numeric,98,SUCCESS,DOC-PROD-21,2,Tech Specs,Rated Voltage: 294 V
ATTR-PROD-21-RatedCurrent,PROD-21,Rated Current,201 A,201,A,Numeric,98,SUCCESS,DOC-PROD-21,2,Tech Specs,Rated Current: 201 A
ATTR-PROD-21-Pins,PROD-21,Pins,80 Count,80,Count,Numeric,98,SUCCESS,DOC-PROD-21,2,Tech Specs,Pins: 80 Count
