process_id,product_id,stage,status,started_at,completed_at,duration_ms,records_processed,confidence,message
PROC-PROD-01-UPLOAD,PROD-01,UPLOAD,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran UPLOAD
PROC-PROD-01-DOCUMENT_ANALYSIS,PROD-01,DOCUMENT_ANALYSIS,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran DOCUMENT_ANALYSIS
PROC-PROD-01-EXTRACT,PROD-01,EXTRACT,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran EXTRACT
PROC-PROD-01-UNDERSTAND,PROD-01,UNDERSTAND,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran UNDERSTAND
PROC-PROD-01-NORMALIZE,PROD-01,NORMALIZE,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran NORMALIZE
PROC-PROD-01-TAXONOMY,PROD-01,TAXONOMY,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran TAXONOMY
PROC-PROD-01-COMPLIANCE,PROD-01,COMPLIANCE,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran COMPLIANCE
PROC-PROD-01-VALIDATION,PROD-01,VALIDATION,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran VALIDATION
PROC-PROD-01-PRODUCT_MATCHING,PROD-01,PRODUCT_MATCHING,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran PRODUCT_MATCHING
PROC-PROD-01-TRACEABILITY,PROD-01,TRACEABILITY,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran TRACEABILITY
PROC-PROD-01-INSIGHTS,PROD-01,INSIGHTS,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran INSIGHTS
PROC-PROD-01-HUMAN_REVIEW,PROD-01,HUMAN_REVIEW,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran HUMAN_REVIEW
PROC-PROD-01-GENERATE_RECORD,PROD-01,GENERATE_RECORD,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran GENERATE_RECORD
PROC-PROD-02-UPLOAD,PROD-02,UPLOAD,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran UPLOAD
PROC-PROD-02-DOCUMENT_ANALYSIS,PROD-02,DOCUMENT_ANALYSIS,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran DOCUMENT_ANALYSIS
PROC-PROD-02-EXTRACT,PROD-02,EXTRACT,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran EXTRACT
PROC-PROD-02-UNDERSTAND,PROD-02,UNDERSTAND,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran UNDERSTAND
PROC-PROD-02-NORMALIZE,PROD-02,NORMALIZE,COMPLETED,2026-08-22T08:25:42.660125,2026-08-22T08:25:43.660125,1000,1,98,Successfully ran NORMALIZE
