product_id,product_name,sku,manufacturer,model_number,category,subcategory,product_type,description,product_family,series,country_of_origin,product_status,datasheet_id,datasheet_filename,lifecycle_status,created_at,updated_at
PROD-01,MCCB 250A Standard,SKU-01,GlobalIndustrial,MOD-SKU-01,Circuit Breakers,General,Component,High quality MCCB 250A Standard,ProSeries,Series X,Germany,Active,DOC-PROD-01,SKU-01_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-02,MCCB 400A High Capacity,SKU-02,GlobalIndustrial,MOD-SKU-02,Circuit Breakers,General,Component,High quality MCCB 400A High Capacity,ProSeries,Series X,Germany,Active,DOC-PROD-02,SKU-02_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-03,MCB 16A,SKU-03,GlobalIndustrial,MOD-SKU-03,Circuit Breakers,General,Component,High quality MCB 16A,ProSeries,Series X,Germany,Active,DOC-PROD-03,SKU-03_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-04,Spring-Cage 2.5mm,SKU-04,GlobalIndustrial,MOD-SKU-04,Terminal Blocks,General,Component,High quality Spring-Cage 2.5mm,ProSeries,Series X,Germany,Active,DOC-PROD-04,SKU-04_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-05,Push-in 4mm,SKU-05,GlobalIndustrial,MOD-SKU-05,Terminal Blocks,General,Component,High quality Push-in 4mm,ProSeries,Series X,Germany,Active,DOC-PROD-05,SKU-05_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-06,Screw 6mm,SKU-06,GlobalIndustrial,MOD-SKU-06,Terminal Blocks,General,Component,High quality Screw 6mm,ProSeries,Series X,Germany,Active,DOC-PROD-06,SKU-06_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-07,3-Pole 9A Contactor,SKU-07,GlobalIndustrial,MOD-SKU-07,Contactors,General,Component,High quality 3-Pole 9A Contactor,ProSeries,Series X,Germany,Active,DOC-PROD-07,SKU-07_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-08,3-Pole 12A Contactor,SKU-08,GlobalIndustrial,MOD-SKU-08,Contactors,General,Component,High quality 3-Pole 12A Contactor,ProSeries,Series X,Germany,Active,DOC-PROD-08,SKU-08_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-09,4-Pole 25A Contactor,SKU-09,GlobalIndustrial,MOD-SKU-09,Contactors,General,Component,High quality 4-Pole 25A Contactor,ProSeries,Series X,Germany,Active,DOC-PROD-09,SKU-09_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-10,General Purpose Relay,SKU-10,GlobalIndustrial,MOD-SKU-10,Relays,General,Component,High quality General Purpose Relay,ProSeries,Series X,Germany,Active,DOC-PROD-10,SKU-10_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-11,Solid State Relay 40A,SKU-11,GlobalIndustrial,MOD-SKU-11,Relays,General,Component,High quality Solid State Relay 40A,ProSeries,Series X,Germany,Active,DOC-PROD-11,SKU-11_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-12,Safety Relay,SKU-12,GlobalIndustrial,MOD-SKU-12,Relays,General,Component,High quality Safety Relay,ProSeries,Series X,Germany,Obsolete,DOC-PROD-12,SKU-12_datasheet.pdf,End of Life,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-13,Safety Relay Gen2,SKU-13,GlobalIndustrial,MOD-SKU-13,Relays,General,Component,High quality Safety Relay Gen2,ProSeries,Series X,Germany,Active,DOC-PROD-13,SKU-13_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-14,Proximity Sensor M12,SKU-14,GlobalIndustrial,MOD-SKU-14,Industrial Sensors,General,Component,High quality Proximity Sensor M12,ProSeries,Series X,Germany,Active,DOC-PROD-14,SKU-14_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-15,Proximity Sensor M18,SKU-15,GlobalIndustrial,MOD-SKU-15,Industrial Sensors,General,Component,High quality Proximity Sensor M18,ProSeries,Series X,Germany,Active,DOC-PROD-15,SKU-15_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-16,PT100 RTD Sensor,SKU-16,GlobalIndustrial,MOD-SKU-16,Temperature Sensors,General,Component,High quality PT100 RTD Sensor,ProSeries,Series X,Germany,Active,DOC-PROD-16,SKU-16_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-17,Thermocouple Type K,SKU-17,GlobalIndustrial,MOD-SKU-17,Temperature Sensors,General,Component,High quality Thermocouple Type K,ProSeries,Series X,Germany,Active,DOC-PROD-17,SKU-17_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-18,Thermocouple Type J,SKU-18,GlobalIndustrial,MOD-SKU-18,Temperature Sensors,General,Component,High quality Thermocouple Type J,ProSeries,Series X,Germany,Active,DOC-PROD-18,SKU-18_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-19,Pressure Transmitter 100bar,SKU-19,GlobalIndustrial,MOD-SKU-19,Pressure Sensors,General,Component,High quality Pressure Transmitter 100bar,ProSeries,Series X,Germany,Active,DOC-PROD-19,SKU-19_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-20,Pressure Switch 10bar,SKU-20,GlobalIndustrial,MOD-SKU-20,Pressure Sensors,General,Component,High quality Pressure Switch 10bar,ProSeries,Series X,Germany,Active,DOC-PROD-20,SKU-20_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-21,Heavy Duty Connector,SKU-21,GlobalIndustrial,MOD-SKU-21,Industrial Connectors,General,Component,High quality Heavy Duty Connector,ProSeries,Series X,Germany,Active,DOC-PROD-21,SKU-21_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-22,M12 Circular 5P,SKU-22,GlobalIndustrial,MOD-SKU-22,Industrial Connectors,General,Component,High quality M12 Circular 5P,ProSeries,Series X,Germany,Active,DOC-PROD-22,SKU-22_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-23,Limit Switch Roller,SKU-23,GlobalIndustrial,MOD-SKU-23,Switches,General,Component,High quality Limit Switch Roller,ProSeries,Series X,Germany,Active,DOC-PROD-23,SKU-23_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-24,Safety Interlock,SKU-24,GlobalIndustrial,MOD-SKU-24,Switches,General,Component,High quality Safety Interlock,ProSeries,Series X,Germany,Active,DOC-PROD-24,SKU-24_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-25,Foot Switch,SKU-25,GlobalIndustrial,MOD-SKU-25,Switches,General,Component,High quality Foot Switch,ProSeries,Series X,Germany,Active,DOC-PROD-25,SKU-25_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-26,DIN Rail 24V 10A,SKU-26,GlobalIndustrial,MOD-SKU-26,Industrial Power Supplies,General,Component,High quality DIN Rail 24V 10A,ProSeries,Series X,Germany,Active,DOC-PROD-26,SKU-26_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-27,DIN Rail 24V 10A (Old),SKU-27,GlobalIndustrial,MOD-SKU-27,Industrial Power Supplies,General,Component,High quality DIN Rail 24V 10A (Old),ProSeries,Series X,Germany,Obsolete,DOC-PROD-27,SKU-27_datasheet.pdf,End of Life,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-28,DIN Rail 24V 10A (New),SKU-28,GlobalIndustrial,MOD-SKU-28,Industrial Power Supplies,General,Component,High quality DIN Rail 24V 10A (New),ProSeries,Series X,Germany,Active,DOC-PROD-28,SKU-28_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-29,ACB 1000A,SKU-29,GlobalIndustrial,MOD-SKU-29,Circuit Breakers,General,Component,High quality ACB 1000A,ProSeries,Series X,Germany,Active,DOC-PROD-29,SKU-29_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
PROD-30,MCCB 250A Generic,SKU-30,GlobalIndustrial,MOD-SKU-30,Circuit Breakers,General,Component,High quality MCCB 250A Generic,ProSeries,Series X,Germany,Active,DOC-PROD-30,SKU-30_datasheet.pdf,Production,2026-08-22T08:25:42.660125,2026-08-22T08:25:42.660125
