evidence_id,product_id,attribute_name,value,document_id,page_number,section,table_name,source_text,evidence_type,bounding_box,confidence,verification_status
EVID-PROD-01-RatedVoltage,PROD-01,Rated Voltage,376,DOC-PROD-01,2,Tech Specs,Table 1,Rated Voltage: 376 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-01-RatedCurrent,PROD-01,Rated Current,372,DOC-PROD-01,2,Tech Specs,Table 1,Rated Current: 372 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-01-BreakingCapacity,PROD-01,Breaking Capacity,201,DOC-PROD-01,2,Tech Specs,Table 1,Breaking Capacity: 201 kA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-01-Poles,PROD-01,Poles,16,DOC-PROD-01,2,Tech Specs,Table 1,Poles: 16 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-01-Weight,PROD-01,Weight,454,DOC-PROD-01,2,Tech Specs,Table 1,Weight: 454 kg,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-02-RatedVoltage,PROD-02,Rated Voltage,279,DOC-PROD-02,2,Tech Specs,Table 1,Rated Voltage: 279 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-02-RatedCurrent,PROD-02,Rated Current,75,DOC-PROD-02,2,Tech Specs,Table 1,Rated Current: 75 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-02-BreakingCapacity,PROD-02,Breaking Capacity,10,DOC-PROD-02,2,Tech Specs,Table 1,Breaking Capacity: 10 kA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-02-Poles,PROD-02,Poles,138,DOC-PROD-02,2,Tech Specs,Table 1,Poles: 138 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-02-Weight,PROD-02,Weight,27,DOC-PROD-02,2,Tech Specs,Table 1,Weight: 27 kg,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-03-RatedCurrent,PROD-03,Rated Current,347,DOC-PROD-03,2,Tech Specs,Table 1,Rated Current: 347 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-03-Poles,PROD-03,Poles,120,DOC-PROD-03,2,Tech Specs,Table 1,Poles: 120 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-03-Weight,PROD-03,Weight,207,DOC-PROD-03,2,Tech Specs,Table 1,Weight: 207 kg,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-04-RatedVoltage,PROD-04,Rated Voltage,35,DOC-PROD-04,2,Tech Specs,Table 1,Rated Voltage: 35 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-04-RatedCurrent,PROD-04,Rated Current,54,DOC-PROD-04,2,Tech Specs,Table 1,Rated Current: 54 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-04-CrossSection,PROD-04,Cross Section,23,DOC-PROD-04,2,Tech Specs,Table 1,Cross Section: 23 mm²,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-04-MountingType,PROD-04,Mounting Type,188,DOC-PROD-04,2,Tech Specs,Table 1,Mounting Type: 188 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-05-RatedVoltage,PROD-05,Rated Voltage,41,DOC-PROD-05,2,Tech Specs,Table 1,Rated Voltage: 41 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-05-RatedCurrent,PROD-05,Rated Current,73,DOC-PROD-05,2,Tech Specs,Table 1,Rated Current: 73 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-05-CrossSection,PROD-05,Cross Section,488,DOC-PROD-05,2,Tech Specs,Table 1,Cross Section: 488 mm²,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-05-MountingType,PROD-05,Mounting Type,307,DOC-PROD-05,2,Tech Specs,Table 1,Mounting Type: 307 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-06-RatedVoltage,PROD-06,Rated Voltage,145,DOC-PROD-06,2,Tech Specs,Table 1,Rated Voltage: 145 V,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-06-RatedCurrent,PROD-06,Rated Current,159,DOC-PROD-06,2,Tech Specs,Table 1,Rated Current: 159 A,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-06-CrossSection,PROD-06,Cross Section,172,DOC-PROD-06,2,Tech Specs,Table 1,Cross Section: 172 mm²,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-06-MountingType,PROD-06,Mounting Type,442,DOC-PROD-06,2,Tech Specs,Table 1,Mounting Type: 442 String,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-07-CoilVoltage,PROD-07,Coil Voltage,364,DOC-PROD-07,2,Tech Specs,Table 1,Coil Voltage: 364 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-07-RatedCurrent,PROD-07,Rated Current,141,DOC-PROD-07,2,Tech Specs,Table 1,Rated Current: 141 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-07-Poles,PROD-07,Poles,176,DOC-PROD-07,2,Tech Specs,Table 1,Poles: 176 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-08-CoilVoltage,PROD-08,Coil Voltage,14,DOC-PROD-08,2,Tech Specs,Table 1,Coil Voltage: 14 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-08-RatedCurrent,PROD-08,Rated Current,482,DOC-PROD-08,2,Tech Specs,Table 1,Rated Current: 482 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-08-Poles,PROD-08,Poles,12,DOC-PROD-08,2,Tech Specs,Table 1,Poles: 12 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-09-CoilVoltage,PROD-09,Coil Voltage,164,DOC-PROD-09,2,Tech Specs,Table 1,Coil Voltage: 164 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-09-RatedCurrent,PROD-09,Rated Current,168,DOC-PROD-09,2,Tech Specs,Table 1,Rated Current: 168 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-09-Poles,PROD-09,Poles,12,DOC-PROD-09,2,Tech Specs,Table 1,Poles: 12 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-10-CoilVoltage,PROD-10,Coil Voltage,299,DOC-PROD-10,2,Tech Specs,Table 1,Coil Voltage: 299 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-10-ContactRating,PROD-10,Contact Rating,419,DOC-PROD-10,2,Tech Specs,Table 1,Contact Rating: 419 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-10-Configuration,PROD-10,Configuration,136,DOC-PROD-10,2,Tech Specs,Table 1,Configuration: 136 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-11-CoilVoltage,PROD-11,Coil Voltage,281,DOC-PROD-11,2,Tech Specs,Table 1,Coil Voltage: 281 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-11-ContactRating,PROD-11,Contact Rating,280,DOC-PROD-11,2,Tech Specs,Table 1,Contact Rating: 280 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-11-Configuration,PROD-11,Configuration,446,DOC-PROD-11,2,Tech Specs,Table 1,Configuration: 446 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-12-CoilVoltage,PROD-12,Coil Voltage,318,DOC-PROD-12,2,Tech Specs,Table 1,Coil Voltage: 318 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-12-ContactRating,PROD-12,Contact Rating,137,DOC-PROD-12,2,Tech Specs,Table 1,Contact Rating: 137 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-12-Configuration,PROD-12,Configuration,34,DOC-PROD-12,2,Tech Specs,Table 1,Configuration: 34 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-13-CoilVoltage,PROD-13,Coil Voltage,185,DOC-PROD-13,2,Tech Specs,Table 1,Coil Voltage: 185 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-13-ContactRating,PROD-13,Contact Rating,488,DOC-PROD-13,2,Tech Specs,Table 1,Contact Rating: 488 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-13-Configuration,PROD-13,Configuration,371,DOC-PROD-13,2,Tech Specs,Table 1,Configuration: 371 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-14-SensingRange,PROD-14,Sensing Range,252,DOC-PROD-14,2,Tech Specs,Table 1,Sensing Range: 252 mm,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-14-OutputType,PROD-14,Output Type,52,DOC-PROD-14,2,Tech Specs,Table 1,Output Type: 52 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-14-IPRating,PROD-14,IP Rating,138,DOC-PROD-14,2,Tech Specs,Table 1,IP Rating: 138 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-15-OutputType,PROD-15,Output Type,44,DOC-PROD-15,2,Tech Specs,Table 1,Output Type: 44 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-15-IPRating,PROD-15,IP Rating,443,DOC-PROD-15,2,Tech Specs,Table 1,IP Rating: 443 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-16-TemperatureRange,PROD-16,Temperature Range,104,DOC-PROD-16,2,Tech Specs,Table 1,Temperature Range: 104 °C,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-16-SensorType,PROD-16,Sensor Type,201,DOC-PROD-16,2,Tech Specs,Table 1,Sensor Type: 201 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-16-Accuracy,PROD-16,Accuracy,144,DOC-PROD-16,2,Tech Specs,Table 1,Accuracy: 144 %,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-17-TemperatureRange,PROD-17,Temperature Range,192,DOC-PROD-17,2,Tech Specs,Table 1,Temperature Range: 192 °C,Text,"x=120,y=350,w=280,h=45",65,PASSED
