product_id,taxonomy_standard,etim_class,etim_class_name,class_description,classification_confidence,matching_attributes,missing_attributes,alternative_class_1,alternative_confidence_1,alternative_class_2,alternative_confidence_2,classification_evidence
PROD-01,ETIM,EC000001,Circuit Breakers,Standard Circuit Breakers,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-02,ETIM,EC000001,Circuit Breakers,Standard Circuit Breakers,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-03,ETIM,EC000001,Circuit Breakers,Standard Circuit Breakers,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-04,ETIM,EC000001,Terminal Blocks,Standard Terminal Blocks,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-05,ETIM,EC000001,Terminal Blocks,Standard Terminal Blocks,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-06,ETIM,EC000001,Terminal Blocks,Standard Terminal Blocks,65,Multiple,Specific dimensions,EC000002,40,EC000003,20,Keyword matching
PROD-07,ETIM,EC000001,Contactors,Standard Contactors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-08,ETIM,EC000001,Contactors,Standard Contactors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-09,ETIM,EC000001,Contactors,Standard Contactors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-10,ETIM,EC000001,Relays,Standard Relays,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-11,ETIM,EC000001,Relays,Standard Relays,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-12,ETIM,EC000001,Relays,Standard Relays,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-13,ETIM,EC000001,Relays,Standard Relays,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-14,ETIM,EC000001,Industrial Sensors,Standard Industrial Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-15,ETIM,EC000001,Industrial Sensors,Standard Industrial Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-16,ETIM,EC000001,Temperature Sensors,Standard Temperature Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-17,ETIM,EC000001,Temperature Sensors,Standard Temperature Sensors,65,Multiple,Specific dimensions,EC000002,40,EC000003,20,Keyword matching
PROD-18,ETIM,EC000001,Temperature Sensors,Standard Temperature Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-19,ETIM,EC000001,Pressure Sensors,Standard Pressure Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-20,ETIM,EC000001,Pressure Sensors,Standard Pressure Sensors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-21,ETIM,EC000001,Industrial Connectors,Standard Industrial Connectors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-22,ETIM,EC000001,Industrial Connectors,Standard Industrial Connectors,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-23,ETIM,EC000001,Switches,Standard Switches,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-24,ETIM,EC000001,Switches,Standard Switches,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-25,ETIM,EC000001,Switches,Standard Switches,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-26,ETIM,EC000001,Industrial Power Supplies,Standard Industrial Power Supplies,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-27,ETIM,EC000001,Industrial Power Supplies,Standard Industrial Power Supplies,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-28,ETIM,EC000001,Industrial Power Supplies,Standard Industrial Power Supplies,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-29,ETIM,EC000001,Circuit Breakers,Standard Circuit Breakers,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
PROD-30,ETIM,EC000001,Circuit Breakers,Standard Circuit Breakers,98,Multiple,None,EC000002,40,EC000003,20,Keyword matching
